USERID,r_score,f_score,m_score,rfm_wscore
52551,2,1,1,1.6
52552,3,1,1,2.1999999999999997
52554,1,1,1,0.9999999999999999
52556,5,1,1,3.4
52558,5,1,1,3.4
52561,1,1,1,0.9999999999999999
52562,5,1,1,3.4
52565,1,1,1,0.9999999999999999
52566,4,1,1,2.8
52567,2,1,1,1.6
52570,3,1,1,2.1999999999999997
52571,4,1,1,2.8
52573,4,1,1,2.8
52576,4,1,1,2.8
52580,5,1,1,3.4
52581,1,1,1,0.9999999999999999
52582,3,1,1,2.1999999999999997
52584,3,1,1,2.1999999999999997
52585,2,1,1,1.6
52587,5,1,1,3.4
52589,2,1,1,1.6
52590,2,1,1,1.6
52591,5,1,1,3.4
52594,5,1,1,3.4
52596,5,1,1,3.4
52597,5,1,1,3.4
52601,5,1,1,3.4
52605,5,1,1,3.4
52607,1,1,1,0.9999999999999999
52608,5,1,1,3.4
52612,4,1,1,2.8
52614,4,1,1,2.8
52615,2,1,1,1.6
52617,3,1,1,2.1999999999999997
52618,5,1,1,3.4
52619,5,1,1,3.4
52620,3,1,1,2.1999999999999997
52621,5,1,1,3.4
52624,5,2,1,3.7
52627,1,1,1,0.9999999999999999
52628,3,1,1,2.1999999999999997
52629,2,1,1,1.6
52631,4,1,1,2.8
52632,2,1,1,1.6
52635,3,1,1,2.1999999999999997
52636,2,1,1,1.6
52637,4,1,1,2.8
52639,1,1,1,0.9999999999999999
52643,2,1,1,1.6
52646,4,1,1,2.8
52648,1,1,1,0.9999999999999999
52649,4,1,1,2.8
52655,2,1,1,1.6
52657,4,1,1,2.8
52662,5,1,1,3.4
52665,5,1,1,3.4
52666,5,1,1,3.4
52668,5,1,1,3.4
52669,1,1,1,0.9999999999999999
52673,4,1,1,2.8
52675,3,1,1,2.1999999999999997
52677,2,1,1,1.6
52679,1,1,1,0.9999999999999999
52681,3,1,1,2.1999999999999997
52685,5,1,1,3.4
52687,4,1,1,2.8
52688,2,1,1,1.6
52692,3,1,1,2.1999999999999997
52695,3,1,1,2.1999999999999997
52696,3,1,1,2.1999999999999997
52697,1,1,1,0.9999999999999999
52699,5,1,1,3.4
52701,5,1,1,3.4
52702,4,1,1,2.8
52704,2,1,1,1.6
52705,2,1,1,1.6
52707,4,1,1,2.8
52708,1,1,1,0.9999999999999999
52712,2,1,1,1.6
52713,1,1,1,0.9999999999999999
52714,4,1,1,2.8
52718,2,1,1,1.6
52720,5,1,1,3.4
52723,5,1,1,3.4
52724,1,1,1,0.9999999999999999
52725,4,1,1,2.8
52726,4,1,1,2.8
52727,3,1,1,2.1999999999999997
52729,3,1,1,2.1999999999999997
52730,4,1,1,2.8
52732,1,1,1,0.9999999999999999
52734,1,1,1,0.9999999999999999
52739,3,1,1,2.1999999999999997
52740,5,1,1,3.4
52742,2,1,1,1.6
52743,1,1,1,0.9999999999999999
52744,4,1,1,2.8
52746,5,1,1,3.4
52748,4,1,1,2.8
52749,5,1,1,3.4
52750,5,1,1,3.4
52753,3,1,1,2.1999999999999997
52756,2,1,1,1.6
52757,1,1,1,0.9999999999999999
52758,1,1,1,0.9999999999999999
52759,1,1,1,0.9999999999999999
52762,5,1,1,3.4
52765,4,1,1,2.8
52768,3,1,1,2.1999999999999997
52769,1,1,1,0.9999999999999999
52771,3,1,1,2.1999999999999997
52772,2,1,1,1.6
52773,4,1,1,2.8
52776,1,1,1,0.9999999999999999
52777,3,1,1,2.1999999999999997
52778,2,1,1,1.6
52781,2,1,1,1.6
52782,3,1,1,2.1999999999999997
52783,4,1,1,2.8
52787,4,1,1,2.8
52788,3,1,1,2.1999999999999997
52789,2,1,1,1.6
52790,4,1,1,2.8
52791,1,1,1,0.9999999999999999
52793,3,1,1,2.1999999999999997
52794,3,1,1,2.1999999999999997
52795,5,1,1,3.4
52798,5,1,1,3.4
52801,5,1,1,3.4
52803,3,1,1,2.1999999999999997
52804,3,1,1,2.1999999999999997
52807,3,1,1,2.1999999999999997
52808,2,1,1,1.6
52809,3,1,1,2.1999999999999997
52811,2,1,1,1.6
52812,5,1,1,3.4
52815,5,1,1,3.4
52816,3,1,1,2.1999999999999997
52819,2,1,1,1.6
52820,4,1,1,2.8
52822,4,1,1,2.8
52824,2,1,1,1.6
52825,5,1,1,3.4
52826,3,1,1,2.1999999999999997
52827,1,1,1,0.9999999999999999
52828,2,1,1,1.6
52829,4,1,1,2.8
52830,5,1,1,3.4
52832,4,1,1,2.8
52838,5,1,1,3.4
52839,1,1,1,0.9999999999999999
52840,1,1,1,0.9999999999999999
52841,2,1,1,1.6
52842,1,1,1,0.9999999999999999
52843,4,1,1,2.8
52845,1,1,1,0.9999999999999999
52847,4,1,1,2.8
52848,5,1,1,3.4
52849,2,1,1,1.6
52851,3,1,1,2.1999999999999997
52853,5,1,1,3.4
52854,2,1,1,1.6
52855,5,1,1,3.4
52856,5,1,1,3.4
52857,1,1,1,0.9999999999999999
52858,5,1,1,3.4
52859,4,1,1,2.8
52861,5,1,1,3.4
52864,4,1,1,2.8
52866,5,1,1,3.4
52869,1,1,1,0.9999999999999999
52871,4,1,1,2.8
52874,4,1,1,2.8
52876,5,1,1,3.4
52877,1,1,1,0.9999999999999999
52878,4,1,1,2.8
52879,4,1,1,2.8
52880,3,1,1,2.1999999999999997
52881,1,1,1,0.9999999999999999
52882,5,1,1,3.4
52885,4,1,1,2.8
52887,4,1,1,2.8
52890,4,1,1,2.8
52892,4,1,1,2.8
52894,2,1,1,1.6
52895,5,1,1,3.4
52897,5,1,1,3.4
52898,1,1,1,0.9999999999999999
52899,4,1,1,2.8
52900,4,1,1,2.8
52904,1,1,1,0.9999999999999999
52905,5,1,1,3.4
52907,1,1,1,0.9999999999999999
52910,2,1,1,1.6
52913,2,1,1,1.6
52914,1,1,1,0.9999999999999999
52916,3,1,1,2.1999999999999997
52918,3,1,1,2.1999999999999997
52920,5,1,1,3.4
52922,2,1,1,1.6
52925,5,1,1,3.4
52926,1,1,1,0.9999999999999999
52928,3,1,1,2.1999999999999997
52929,4,1,1,2.8
52931,5,1,1,3.4
52932,4,1,1,2.8
52933,4,1,1,2.8
52935,1,1,1,0.9999999999999999
52937,5,1,1,3.4
52939,5,1,1,3.4
52940,2,1,1,1.6
52944,1,1,1,0.9999999999999999
52945,3,1,1,2.1999999999999997
52946,4,1,1,2.8
52948,1,1,1,0.9999999999999999
52950,5,1,1,3.4
52951,3,1,1,2.1999999999999997
52953,5,1,1,3.4
52955,3,1,1,2.1999999999999997
52958,2,1,1,1.6
52960,5,1,1,3.4
52962,5,1,1,3.4
52963,5,1,1,3.4
